"STATION","NAME","DATE","MLY-DUTR-NORMAL","MLY-DUTR-STDDEV","MLY-PRCP-NORMAL","MLY-TAVG-NORMAL","MLY-TAVG-STDDEV","MLY-TMAX-AVGNDS-GRTH040","MLY-TMAX-AVGNDS-GRTH050","MLY-TMAX-AVGNDS-GRTH060","MLY-TMAX-AVGNDS-GRTH070","MLY-TMAX-AVGNDS-GRTH080","MLY-TMAX-AVGNDS-GRTH090","MLY-TMAX-AVGNDS-GRTH100","MLY-TMAX-AVGNDS-LSTH032","MLY-TMAX-NORMAL","MLY-TMAX-STDDEV","MLY-TMIN-AVGNDS-LSTH000","MLY-TMIN-AVGNDS-LSTH010","MLY-TMIN-AVGNDS-LSTH020","MLY-TMIN-AVGNDS-LSTH032","MLY-TMIN-AVGNDS-LSTH040","MLY-TMIN-AVGNDS-LSTH050","MLY-TMIN-AVGNDS-LSTH060","MLY-TMIN-AVGNDS-LSTH070","MLY-TMIN-NORMAL","MLY-TMIN-STDDEV"
"USW00094818","RACINE BATTEN AIRPORT, WI US","01","13.9","2.4","1.24","22.6","5.0","46","0.7","1","0","0","0.0","0.0","18.1","29.6","4.4","3.0","101","185","28.6","310","310","310","310","15.7","5.8"
"USW00094818","RACINE BATTEN AIRPORT, WI US","02","14.6","2.1","1.20","25.6","4.8","59","1.2","1","0","0","0.0","0.0","12.9","32.9","4.5","1.7","61","141","26.4","280","280","280","280","18.3","5.3"
"USW00094818","RACINE BATTEN AIRPORT, WI US","03","15.1","1.4","2.05","35.0","2.9","163","7.8","26","7","0","0.0","0.0","3.4","42.6","3.2","0.1","7","52","21.9","293","306","310","310","27.5","2.8"
"USW00094818","RACINE BATTEN AIRPORT, WI US","04","16.6","1.8","3.59","44.9","2.7","268","17.5","73","29","5","0.0","0.0","0.2","53.2","3.2","0.0","0","1","7.8","212","295","299","300","36.5","2.3"
"USW00094818","RACINE BATTEN AIRPORT, WI US","05","17.3","1.8","3.46","54.8","2.9","310","28.6","183","80","17","0.0","0.0","0.0","63.4","3.1","0.0","0","0","0.5","59","227","298","310","46.1","2.9"
"USW00094818","RACINE BATTEN AIRPORT, WI US","06","17.8","2.1","3.92","65.8","2.4","300","30.0","280","209","92","0.5","0.0","0.0","74.7","3.0","0.0","0","0","0.0","0","56","192","296","56.9","2.2"
"USW00094818","RACINE BATTEN AIRPORT, WI US","07","16.7","1.6","3.74","71.8","2.5","310","31.0","310","291","163","2.2","0.0","0.0","80.2","2.8","0.0","0","0","0.0","0","2","80","271","63.5","2.3"
"USW00094818","RACINE BATTEN AIRPORT, WI US","08","15.4","1.2","4.05","70.3","2.5","310","31.0","310","286","111","1.0","0.0","0.0","78.0","2.5","0.0","0","0","0.0","0","2","92","288","62.6","2.7"
"USW00094818","RACINE BATTEN AIRPORT, WI US","09","16.5","1.8","3.57","62.7","1.8","300","30.0","275","163","36","0.0","0.0","0.0","70.9","2.4","0.0","0","0","0.0","5","78","233","298","54.4","1.6"
"USW00094818","RACINE BATTEN AIRPORT, WI US","10","15.4","2.4","2.78","51.4","2.8","307","25.6","132","45","7","0.0","0.0","0.0","59.2","3.2","0.0","0","0","2.1","103","245","301","309","43.7","2.9"
"USW00094818","RACINE BATTEN AIRPORT, WI US","11","14.0","1.9","2.63","38.8","4.0","212","10.3","25","2","0","0.0","0.0","2.2","45.8","4.4","0.0","1","32","15.1","245","295","300","300","31.8","3.8"
"USW00094818","RACINE BATTEN AIRPORT, WI US","12","13.2","2.3","1.62","27.2","4.7","83","1.9","3","0","0","0.0","0.0","12.9","33.8","4.3","1.1","65","145","25.9","297","310","310","310","20.6","5.3"
